ticker,name,weight_pct,missing_classification,etf_source
PURR,HYPERLIQUID STRATEGIES,0.524382,MISSING_LOW_RELEVANCE,XBI
AVTX,AVALO THERAPEUTICS INC,0.350118,MISSING_CORE_BIOTECH_CANDIDATE,XBI
IMMX,IMMIX BIOPHARMA INC,0.199042,MISSING_CORE_BIOTECH_CANDIDATE,XBI
MPLT,MAPLIGHT THERAPEUTICS INC,0.157229,MISSING_CORE_BIOTECH_CANDIDATE,XBI
OVID,OVID THERAPEUTICS INC,0.118936,MISSING_CORE_BIOTECH_CANDIDATE,XBI
ACHV,ACHIEVE LIFE SCIENCES INC,0.077027,MISSING_CORE_BIOTECH_CANDIDATE,XBI
LKFT,LAKEFRONT BIOTHERAPEUTICS ADR NV,0.1,MISSING_ADR_OR_FOREIGN,IBB
AKE,AKERO THERAPEUTICS CVR,0.0,MISSING_LOW_RELEVANCE,IBB
ADRO,CHINOOK THERAPEUTICS INC,0.0,MISSING_CORE_BIOTECH_CANDIDATE,IBB
THRD,THIRD HARMONIC BIO INC,0.0,MISSING_NEEDS_MANUAL_REVIEW,IBB
CRGX,CARGO THERAPEUTICS INC,0.0,MISSING_CORE_BIOTECH_CANDIDATE,IBB
